CustomerID,Gender,Age,Annual_Income,Spending_Score
101,Male,19,15000,39
102,Male,21,15000,81
103,Female,20,16000,6
104,Female,23,16000,77
105,Female,31,17000,40
106,Female,22,17000,76
107,Female,35,18000,6
108,Female,23,18000,94
109,Male,64,19000,3
110,Female,30,19000,72
111,Male,67,19000,14
112,Female,35,19000,99
113,Male,58,20000,15
114,Female,24,20000,77
115,Male,37,20000,13
116,Male,22,20000,79
117,Female,35,21000,35
118,Male,20,21000,66
119,Male,52,23000,29
120,Female,35,23000,98
121,Male,35,24000,35
122,Male,25,24000,73
123,Female,46,25000,5
124,Male,31,25000,73
125,Female,54,28000,14
126,Female,29,28000,82
127,Male,45,28000,32
128,Male,35,28000,61
129,Male,40,29000,31
130,Male,23,29000,87
131,Male,60,30000,4
132,Male,21,30000,73
133,Male,53,33000,4
134,Male,18,33000,92
135,Male,49,33000,14
136,Female,21,33000,81
137,Female,42,34000,17
138,Female,30,34000,73
139,Male,19,34000,45
140,Female,45,37000,28
141,Female,40,60000,40
142,Male,32,69000,91
143,Female,38,71000,95
144,Male,39,71000,35
145,Female,31,72000,71
146,Male,40,75000,20
147,Male,28,77000,97
148,Female,32,77000,74
149,Female,34,78000,90
150,Male,37,78000,17
151,Female,32,78000,89
152,Male,41,80000,14
153,Female,30,85000,86
154,Male,42,85000,20
155,Female,28,87000,75
156,Female,36,87000,27
157,Male,33,88000,88
158,Male,47,89000,23
159,Female,30,97000,86
160,Male,34,101000,24
161,Female,32,103000,86
162,Male,44,103000,20
163,Female,32,103000,69
164,Male,38,113000,91
165,Female,47,120000,16
166,Female,35,120000,79
167,Male,40,137000,18
168,Female,30,137000,83
