date,revenue,units_sold,marketing_spend
2024-01-01,45000,450,5000
2024-01-08,47200,470,5200
2024-01-15,46800,465,5100
2024-01-22,49000,490,5500
2024-01-29,51000,510,5800
2024-02-05,53200,530,6000
2024-02-12,52500,520,5900
2024-02-19,55000,550,6200
2024-02-26,58000,575,6500
2024-03-04,60500,600,6800
2024-03-11,62000,615,7000
2024-03-18,61000,605,6900
2024-03-25,95000,950,12000
2024-04-01,64000,635,7100
2024-04-08,66000,650,7300
2024-04-15,67500,670,7500
2024-04-22,69000,685,7600
2024-04-29,71000,700,7800
2024-05-06,73000,720,8000
2024-05-13,22000,210,3000
2024-05-20,76000,750,8300
2024-05-27,78500,770,8500
2024-06-03,80000,790,8700
2024-06-10,82000,810,8900
2024-06-17,84500,830,9100
2024-06-24,87000,850,9400
